time,name,air_Pressure_mH2O,air_Temp_float,batt,channel_rssi,data_rate_index,dev_id,device_id,dist,forwarder_gateway_id,recieved_time,rssi,snr,spreading_factor,timestamp,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
2021-07-10 13:08:42.359853548,,10.286371231079102,31.785703659057614,4.19,-31,2,,,59.4,,,-31,9.2,10,,,,
2021-07-10 13:38:42.014863960,,10.283656120300293,30.01348114013672,4.192,-33,2,,,59.6,,,-33,11.5,10,,,,
2021-07-10 14:08:42.160248695,,10.282137870788574,29.837688446044922,4.188,-30,2,,,59.6,,,-30,8.0,10,,,,
2021-07-10 14:38:42.660191212,,10.28085708618164,29.855321884155273,4.191,-29,2,,,59.6,,,-29,8.8,10,,,,
2021-07-10 15:08:39.530074761,,10.280043601989746,29.552106857299805,4.188,-30,2,,,59.5,,,-30,8.5,10,,,,
2021-07-10 15:38:40.215930087,,10.278254508972168,29.514577865600586,4.19,-31,2,,,59.6,,,-31,9.5,10,,,,
2021-07-10 16:08:38.267839147,,10.276403427124023,29.34689521789551,4.188,-33,2,,,59.6,,,-33,10.5,10,,,,
2021-07-10 16:38:38.649280923,,10.276779174804688,29.20649337768555,4.189,-33,2,,,59.5,,,-33,12.0,10,,,,
2021-07-10 17:08:36.919089252,,10.27630615234375,29.059362411499023,4.1930000000000005,-31,2,,,59.5,,,-31,10.2,10,,,,
2021-07-10 17:38:35.608294122,,10.275985717773438,28.89738273620605,4.188,-33,2,,,59.7,,,-33,12.0,10,,,,
2021-07-10 18:08:35.503146303,,10.276436805725098,28.71459770202637,4.194,-33,2,,,59.5,,,-33,11.8,10,,,,
2021-07-10 18:38:34.534319314,,10.279064178466797,28.38891410827637,4.188,-30,2,,,59.6,,,-30,8.8,10,,,,
2021-07-10 19:08:33.377217739,,10.2804536819458,27.75192642211914,4.189,-33,2,,,59.7,,,-33,10.2,10,,,,
2021-07-10 19:38:31.966065323,,10.280485153198242,27.36976623535156,4.19,-31,2,,,59.8,,,-31,11.2,10,,,,
2021-07-10 20:08:32.529126719,,10.281482696533203,26.71048355102539,4.19,-31,2,,,59.7,,,-31,10.2,10,,,,
2021-07-10 20:38:31.717199186,,10.283209800720217,26.3203239440918,4.19,-33,2,,,59.7,,,-33,9.2,10,,,,
2021-07-10 21:08:31.477755540,,10.283949851989746,26.083044052124023,4.191,-33,2,,,59.8,,,-33,10.5,10,,,,
2021-07-10 21:38:30.651210130,,10.284936904907227,25.840591430664066,4.194,-33,2,,,59.5,,,-33,11.5,10,,,,
