time,air_Pressure,air_Temp,batt,dist
18/07/2021 20:26,10.1834383,25.22949791,4.171,59.7
18/07/2021 20:26,10.18748569,24.89209938,4.168,59.9
18/07/2021 20:26,10.18822861,24.5449276,4.167,59.7
18/07/2021 20:26,10.19073868,24.18887711,4.166,59.9
18/07/2021 20:26,10.19147968,23.65834427,4.17,59.8
18/07/2021 20:26,10.19184589,23.53801727,4.166,59.8
18/07/2021 23:13,10.19348717,23.13349152,4.167,59.8
18/07/2021 23:13,10.19503784,22.78565216,4.169,59.8
18/07/2021 23:13,10.19612789,22.34885025,4.171,59.8
18/07/2021 23:13,10.19639492,22.12818146,4.169,59.7
18/07/2021 23:13,10.19885635,21.81058884,4.169,59.8
18/07/2021 23:13,10.20076847,21.64445305,4.167,59.7
19/07/2021 02:00,10.20384407,21.39548874,4.169,59.7
19/07/2021 02:00,10.20893097,21.23168755,4.17,59.7
19/07/2021 02:00,10.20959949,21.13404274,4.169,59.9
19/07/2021 02:00,10.21021748,20.79461479,4.168,59.9
19/07/2021 02:00,10.21238708,20.78202438,4.168,59.8
19/07/2021 04:46,10.21645832,20.79312706,4.165,60
19/07/2021 04:46,10.21787834,20.86925125,4.168,59.7
19/07/2021 04:46,10.2193594,21.04769707,4.172,59.7
19/07/2021 04:46,10.22146034,21.34713936,4.168,59.9
19/07/2021 04:46,10.22426891,21.78109169,4.168,59.8
19/07/2021 04:46,10.22560406,22.88256073,4.168,59.7
19/07/2021 07:33,10.22472668,23.35091972,4.167,59.9
19/07/2021 07:33,10.22776413,23.65408897,4.167,59.8
19/07/2021 07:33,10.22736454,23.76702881,4.168,59.8
19/07/2021 10:20,10.22713757,23.99585724,4.166,59.7
19/07/2021 10:20,10.2281723,24.27767563,4.168,59.9
19/07/2021 10:20,10.22889233,24.36150551,4.165,59.5
19/07/2021 10:20,10.22909927,24.59941101,4.166,59.8
19/07/2021 10:20,10.22880459,25.08280563,4.168,59.6
19/07/2021 10:20,10.22889233,25.73111725,4.165,59.9
