name,tags,time,host,unit,value
CO00011,,1600762715324,11005,partsPerMillion,2.1599998474121094
CO00011,,1600762717333,11005,partsPerMillion,1.1100000143051147
CO00011,,1600762725263,11005,partsPerMillion,2.1599998474121094
CO00011,,1600762729360,11005,partsPerMillion,1.1100000143051147
CO00011,,1600762731363,11005,partsPerMillion,2.1599998474121094
CO00011,,1600762733464,11005,partsPerMillion,1.1100000143051147
CO00011,,1600762736479,11005,partsPerMillion,2.1599998474121094
CO00011,,1600762740925,11005,partsPerMillion,1.1100000143051147
CO00011,,1600762746543,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762757463,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762761481,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762789024,11007,partsPerMillion,0.6299999952316284
CO00011,,1600762789329,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762791337,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762796907,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762797916,11007,partsPerMillion,0.35999998450279236
CO00011,,1600762800532,11007,partsPerMillion,1.409999966621399
CO00011,,1600762801452,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762802556,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762803562,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762804056,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762806061,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762807768,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762808862,11007,partsPerMillion,0.44999998807907104
CO00011,,1600762813992,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762815992,11007,partsPerMillion,0.35999998450279236
CO00011,,1600762830559,11007,partsPerMillion,0.6299999952316284
CO00011,,1600762831056,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762842028,11007,partsPerMillion,1.0799999237060547
CO00011,,1600762842544,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762843849,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762845848,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762846857,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762856050,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762882469,11005,partsPerMillion,2.1599998474121094
CO00011,,1600762883569,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762884366,11005,partsPerMillion,1.1100000143051147
CO00011,,1600762885386,11005,partsPerMillion,2.1599998474121094
CO00011,,1600762885881,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762889501,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762893045,11005,partsPerMillion,1.1100000143051147
CO00011,,1600762893542,11005,partsPerMillion,2.1599998474121094
CO00011,,1600762895858,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762898422,11005,partsPerMillion,1.1100000143051147
CO00011,,1600762900415,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762901433,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762902432,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762903436,11005,partsPerMillion,2.1599998474121094
CO00011,,1600762903436,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762904537,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762905537,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762906547,11005,partsPerMillion,1.1100000143051147
CO00011,,1600762920501,11005,partsPerMillion,2.1599998474121094
CO00011,,1600762924315,11005,partsPerMillion,1.1100000143051147
CO00011,,1600762934546,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762936464,11007,partsPerMillion,0.32999998331069946
CO00011,,1600762938109,11007,partsPerMillion,1.4399999380111694
CO00011,,1600762946423,11005,partsPerMillion,2.1599998474121094
CO00011,,1600762949535,11005,partsPerMillion,1.1100000143051147
